Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,,
EASY,Two Sum,100,0.550738228,https://leetcode.com/problems/two-sum,"Array, Hash Table",,
HARD,Find Building Where Alice and Bob Can Meet,96.5,0.528604119,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet,"Array, Binary Search, Stack, Binary Indexed Tree, Segment Tree, Heap (Priority Queue), Monotonic Stack",,
HARD,Minimum Reverse Operations,94.5,0.16603663,https://leetcode.com/problems/minimum-reverse-operations,"Array, Breadth-First Search, Ordered Set",,
HARD,Maximum Sum of Subsequence With Non-adjacent Elements,90.1,0.163830629,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements,"Array, Divide and Conquer, Dynamic Programming, Segment Tree",,
EASY,Valid Parentheses,90.1,0.418451654,https://leetcode.com/problems/valid-parentheses,"String, Stack",,
HARD,Find the Number of Subsequences With Equal GCD,87.6,0.389067731,https://leetcode.com/problems/find-the-number-of-subsequences-with-equal-gcd,"Array, Math, Dynamic Programming, Number Theory",,
HARD,Minimum Total Distance Traveled,87.6,0.590568729,https://leetcode.com/problems/minimum-total-distance-traveled,"Array, Dynamic Programming, Sorting",,
EASY,Best Time to Buy and Sell Stock,87.6,0.54769819,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",,
MEDIUM,Longest Well-Performing Interval,87.6,0.357052109,https://leetcode.com/problems/longest-well-performing-interval,"Array, Hash Table, Stack, Monotonic Stack, Prefix Sum",,
MEDIUM,Maximum Product After K Increments,87.6,0.419851902,https://leetcode.com/problems/maximum-product-after-k-increments,"Array, Greedy, Heap (Priority Queue)",,
HARD,Count the Number of Ideal Arrays,87.6,0.273141063,https://leetcode.com/problems/count-the-number-of-ideal-arrays,"Math, Dynamic Programming, Combinatorics, Number Theory",,
HARD,Maximum Segment Sum After Removals,87.6,0.481248264,https://leetcode.com/problems/maximum-segment-sum-after-removals,"Array, Union Find, Prefix Sum, Ordered Set",,
MEDIUM,Minimum Addition to Make Integer Beautiful,87.6,0.379000949,https://leetcode.com/problems/minimum-addition-to-make-integer-beautiful,"Math, Greedy",,
MEDIUM,Number of Nodes With Value One,87.6,0.656121045,https://leetcode.com/problems/number-of-nodes-with-value-one,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",,
HARD,Stone Game VIII,87.6,0.529169892,https://leetcode.com/problems/stone-game-viii,"Array, Math, Dynamic Programming, Prefix Sum, Game Theory",,
EASY,Merge Sorted Array,87.6,0.522568548,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting",,
MEDIUM,The Number of Beautiful Subsets,87.6,0.508674668,https://leetcode.com/problems/the-number-of-beautiful-subsets,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Sorting, Combinatorics",,
MEDIUM,Determine the Minimum Sum of a k-avoiding Array,87.6,0.606947614,https://leetcode.com/problems/determine-the-minimum-sum-of-a-k-avoiding-array,"Math, Greedy",,
MEDIUM,Maximum Number of Consecutive Values You Can Make,87.6,0.61614715,https://leetcode.com/problems/maximum-number-of-consecutive-values-you-can-make,"Array, Greedy, Sorting",,
HARD,Number of Beautiful Integers in the Range,87.6,0.190316291,https://leetcode.com/problems/number-of-beautiful-integers-in-the-range,"Math, Dynamic Programming",,
MEDIUM,Find the Minimum Possible Sum of a Beautiful Array,87.6,0.368045649,https://leetcode.com/problems/find-the-minimum-possible-sum-of-a-beautiful-array,"Math, Greedy",,
MEDIUM,Can Convert String in K Moves,87.6,0.35872144,https://leetcode.com/problems/can-convert-string-in-k-moves,"Hash Table, String",,
EASY,Sort the People,87.6,0.848241104,https://leetcode.com/problems/sort-the-people,"Array, Hash Table, String, Sorting",,
MEDIUM,Largest Number After Mutating Substring,87.6,0.365581753,https://leetcode.com/problems/largest-number-after-mutating-substring,"Array, String, Greedy",,
MEDIUM,Longest Substring Without Repeating Characters,87.6,0.363267446,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window",,
EASY,Palindrome Number,78.2,0.586535765,https://leetcode.com/problems/palindrome-number,Math,,
HARD,Trapping Rain Water,74.1,0.642874591,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack",,
MEDIUM,Maximum Subarray,74.1,0.517337217,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming",,
MEDIUM,Next Permutation,74.1,0.423240662,https://leetcode.com/problems/next-permutation,"Array, Two Pointers",,
EASY,Reverse String,74.1,0.795185015,https://leetcode.com/problems/reverse-string,"Two Pointers, String",,
EASY,Remove Duplicates from Sorted Array,69.3,0.594507252,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers",,
MEDIUM,Rotate Image,63.4,0.77170782,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",,
MEDIUM,Coin Change,63.4,0.458132173,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search",,
MEDIUM,Spiral Matrix,63.4,0.529329486,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",,
MEDIUM,Reverse Integer,63.4,0.298643479,https://leetcode.com/problems/reverse-integer,Math,,
MEDIUM,Product of Array Except Self,63.4,0.673834372,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum",,
EASY,Longest Common Prefix,63.4,0.44887907,https://leetcode.com/problems/longest-common-prefix,"String, Trie",,
MEDIUM,3Sum,63.4,0.364231091,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting",,
EASY,Climbing Stairs,63.4,0.533430829,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",,
MEDIUM,Palindrome Partitioning,63.4,0.713838705,https://leetcode.com/problems/palindrome-partitioning,"String, Dynamic Programming, Backtracking",,
MEDIUM,Second Highest Salary,63.4,0.429768662,https://leetcode.com/problems/second-highest-salary,Database,,
MEDIUM,Rotate Array,63.4,0.424612568,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",,
EASY,Missing Number,55.9,0.693472448,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",,
MEDIUM,Single Element in a Sorted Array,55.9,0.591562683,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search",,
MEDIUM,Rotate List,55.9,0.394025882,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers",,
MEDIUM,Jump Game,55.9,0.391136209,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy",,
EASY,Fibonacci Number,55.9,0.725365675,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization",,
MEDIUM,Longest Palindromic Substring,55.9,0.352983455,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",,
MEDIUM,Container With Most Water,55.9,0.57173476,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy",,
MEDIUM,Generate Parentheses,55.9,0.765298611,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking",,
MEDIUM,Gas Station,55.9,0.459783003,https://leetcode.com/problems/gas-station,"Array, Greedy",,
MEDIUM,Reverse Words in a String,55.9,0.50066544,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String",,
MEDIUM,Integer to Roman,55.9,0.67858114,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String",,
MEDIUM,Two Sum II - Input Array Is Sorted,55.9,0.628774605,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search",,
EASY,Valid Anagram,55.9,0.661504691,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting",,
MEDIUM,Number of Islands,55.9,0.615809427,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",,
MEDIUM,Group Anagrams,55.9,0.70337007,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting",,
MEDIUM,Add Two Numbers,55.9,0.45439714,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",,
MEDIUM,Kth Largest Element in an Array,55.9,0.676203699,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",,
MEDIUM,House Robber,55.9,0.519883118,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",,
MEDIUM,Merge Intervals,55.9,0.488065356,https://leetcode.com/problems/merge-intervals,"Array, Sorting",,
HARD,Reverse Nodes in k-Group,55.9,0.620462861,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",,
MEDIUM,Rearrange Array Elements by Sign,45.4,0.841996955,https://leetcode.com/problems/rearrange-array-elements-by-sign,"Array, Two Pointers, Simulation",,
MEDIUM,Sort an Array,45.4,0.570519265,https://leetcode.com/problems/sort-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort",,
EASY,Maximum Product of Three Numbers,45.4,0.452422439,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting",,
EASY,Replace Employee ID With The Unique Identifier,45.4,0.836060625,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier,Database,,
EASY,Maximum Depth of Binary Tree,45.4,0.767547979,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",,
HARD,Median of Two Sorted Arrays,45.4,0.429393771,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer",,
MEDIUM,String to Integer (atoi),45.4,0.18717116,https://leetcode.com/problems/string-to-integer-atoi,String,,
EASY,Create a DataFrame from List,45.4,0.814329169,https://leetcode.com/problems/create-a-dataframe-from-list,,,
MEDIUM,Longest Consecutive Sequence,45.4,0.471907057,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find",,
MEDIUM,Subarray Sum Equals K,45.4,0.449313205,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",,
EASY,Find the Index of the First Occurrence in a String,45.4,0.444636098,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching",,
MEDIUM,Best Time to Buy and Sell Stock II,45.4,0.688563603,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",,
MEDIUM,Sort Colors,45.4,0.663620746,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",,
EASY,Kids With the Greatest Number of Candies,45.4,0.880161415,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies,Array,,
EASY,Find Followers Count,45.4,0.694597156,https://leetcode.com/problems/find-followers-count,Database,,
MEDIUM,Zigzag Conversion,45.4,0.50791267,https://leetcode.com/problems/zigzag-conversion,String,,
EASY,Convert Binary Number in a Linked List to Integer,45.4,0.812177162,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math",,
MEDIUM,Search a 2D Matrix,45.4,0.517772294,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix",,
EASY,Greatest Common Divisor of Strings,45.4,0.525305825,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String",,
MEDIUM,Largest Number,45.4,0.408606096,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting",,
HARD,Sliding Window Maximum,45.4,0.472466043,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue",,
MEDIUM,Find the Duplicate Number,45.4,0.623429043,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation",,
MEDIUM,Bulb Switcher,45.4,0.537186302,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser",,
EASY,Sqrt(x),45.4,0.400270806,https://leetcode.com/problems/sqrtx,"Math, Binary Search",,
MEDIUM,Combination Sum,45.4,0.739312965,https://leetcode.com/problems/combination-sum,"Array, Backtracking",,
HARD,Maximum Score Words Formed by Letters,45.4,0.816537502,https://leetcode.com/problems/maximum-score-words-formed-by-letters,"Array, String, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",,
MEDIUM,Swap Nodes in Pairs,45.4,0.665143279,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion",,
EASY,Valid Palindrome,45.4,0.501548993,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String",,
EASY,Employee Bonus,45.4,0.770258105,https://leetcode.com/problems/employee-bonus,Database,,
EASY,Merge Two Sorted Lists,45.4,0.662895105,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",,
EASY,Average Time of Process per Machine,45.4,0.68877736,https://leetcode.com/problems/average-time-of-process-per-machine,Database,,
MEDIUM,Edit Distance,45.4,0.581900176,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming",,
MEDIUM,Car Fleet,45.4,0.529476811,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack",,
MEDIUM,Koko Eating Bananas,45.4,0.488238388,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search",,
HARD,Sum of Total Strength of Wizards,45.4,0.281727138,https://leetcode.com/problems/sum-of-total-strength-of-wizards,"Array, Stack, Monotonic Stack, Prefix Sum",,
MEDIUM,"Pow(x, n)",45.4,0.364773759,https://leetcode.com/problems/powx-n,"Math, Recursion",,
MEDIUM,Combination Sum II,45.4,0.572101464,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking",,
MEDIUM,4Sum,45.4,0.376016036,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting",,
